RSBSA REFERENCE NUMBER,FIRSTNAME,MIDDLENAME,LASTNAME,EXTENSIONNAME,IDNUMBER,GOVTIDTYPE,STREETNO_PUROKNO,BARANGAY,CITYMUNICIPALITY,DISTRICT,PROVINCE,REGION,BIRTHDATE(YYYY-MM-DD),PLACEOFBIRTH,MOBILENO,SEX,NATIONALITY,PROFESSION,SOURCEOFFUNDS,MOTHERMAIDENNAME,# OF FARM PARCEL,TOTAL FARM AREA (Ha)
88-18-9862-50015,Marilou,Bautista,Siongco,,CD120015,License,Street Name15,Barangay Name15,Batac,District 15,Ilocos Norte,Region 15,11/16/1997,San Juan Ilocos Sur,9271270460,F,FILIPINO,FARMER,FARMING,Maria Pagtakhan,,
88-18-9862-50016,Luis,Dantes,Adriano,IV,CD120016,License,Street Name16,Barangay Name16,Batangas City,District 16,Batangas,Region 16,12/17/1976,San Juan Ilocos Sur,9271260826,M,FILIPINO,FARMER,FARMING,Maria Cabuguas,,
88-18-9862-50017,Jordan,Lao,Basa,,CD120017,License,Street Name17,Barangay Name17,Bayawan,District 17,Negros Oriental,Region 17,10/12/1987,San Juan Ilocos Sur,9271296544,F,FILIPINO,FARMER,FARMING,Maria Siongco,,
88-18-9862-50018,Joan,Suntay,Matibag,,CD120018,License,Street Name18,Barangay Name18,Baybay,District 18,Leyte,Region 18,12/16/1968,San Juan Ilocos Sur,9271268970,M,FILIPINO,FARMER,FARMING,Maria Adriano,,
88-18-9862-50019,Fernando,Bista,Soriano,,CD120019,License,Street Name19,Barangay Name19,Bayugan,District 19,Agusan del Sur,Region 19,11/26/1969,San Juan Ilocos Sur,9271245097,F,FILIPINO,FARMER,FARMING,Maria Basa,,
88-18-9862-50020,Felicitas,Susi,Aldave,,CD120020,License,Street Name20,Barangay Name20,Bi¤an,District 20,Laguna,Region 20,10/28/1989,San Juan Ilocos Sur,9271221361,M,FILIPINO,FARMER,FARMING,Maria Matibag,,
88-18-9862-50021,Ernanie,Reyes,Abarientos,,CD120021,License,Street Name21,Barangay Name21,Bislig,District 21,Surigao del Sur,Region 21,11/24/1983,San Juan Ilocos Sur,9271274960,F,FILIPINO,FARMER,FARMING,Maria Soriano,,
88-18-9862-50022,Erlinda,Pajares,Monciller,,CD120022,License,Street Name22,Barangay Name22,Bogo,District 22,Cebu,Region 22,11/25/1964,San Juan Ilocos Sur,9271276591,M,FILIPINO,FARMER,FARMING,Maria Aldave,,
88-18-9862-50023,Emelita,Pagtakhan,Topacio,,CD120023,License,Street Name23,Barangay Name23,Borongan,District 23,Eastern Samar,Region 23,11/16/1983,San Juan Ilocos Sur,9271248756,F,FILIPINO,FARMER,FARMING,Maria Abarientos,,
88-18-9862-50024,Jose,Cabuguas,Go,,CD120024,License,Street Name24,Barangay Name24,Butuan,District 24,Agusan del Norte,Region 24,10/18/1964,San Juan Ilocos Sur,9271299478,M,FILIPINO,FARMER,FARMING,Maria Monciller,,
88-18-9862-50025,Editha,Siongco,Zamora,,CD120025,License,Street Name25,Barangay Name25,Cabadbaran,District 25,Agusan del Norte,Region 25,10/30/1999,San Juan Ilocos Sur,9271257408,F,FILIPINO,FARMER,FARMING,Maria Topacio,,
88-18-9862-50026,Danilo,Adriano,Bautista,,CD120026,License,Street Name26,Barangay Name26,Cabanatuan,District 26,Nueva Ecija,Region 26,12/12/1976,San Juan Ilocos Sur,9271241367,M,FILIPINO,FARMER,FARMING,Maria Go,,
88-18-9862-50027,Corazon,Basa,Bacatan,,CD120027,License,Street Name27,Barangay Name27,Cabuyao,District 27,Laguna,Region 27,10/26/1963,San Juan Ilocos Sur,9271231599,F,FILIPINO,FARMER,FARMING,Maria Zamora,,
88-18-9862-50028,Clara,Matibag,Delos Reyes,,CD120028,License,Street Name28,Barangay Name28,Cadiz,District 28,Negros Occidental,Region 28,12/18/1984,San Juan Ilocos Sur,9271244283,M,FILIPINO,FARMER,FARMING,Maria Bautista,,
88-18-9862-50029,Carl,Harrison,Grant,,CD120029,License,Street Name29,Barangay Name29,Cagayan de Oro,District 29,Misamis Oriental,Region 29,10/24/1992,San Juan Ilocos Sur,9271261446,F,FILIPINO,FARMER,FARMING,Maria Bacatan,,
88-18-9862-50030,Eddy,Wells,Pisco,,CD120030,License,Street Name30,Barangay Name30,Calamba,District 30,Laguna,Region 30,10/11/1978,San Juan Ilocos Sur,9271222734,M,FILIPINO,FARMER,FARMING,Maria Delos Reyes,,
88-18-9862-50031,Lenny,Cameron,Onin,,CD120031,License,Street Name31,Barangay Name31,Calapan,District 31,Oriental Mindoro,Region 31,11/28/1971,San Juan Ilocos Sur,9271296015,F,FILIPINO,FARMER,FARMING,Maria Grant,,
88-18-9862-50032,John,Foster,Kelos,,CD120032,License,Street Name32,Barangay Name32,Calbayog,District 32,Samar,Region 32,11/24/1994,San Juan Ilocos Sur,9271231552,M,FILIPINO,FARMER,FARMING,Maria Pisco,,
88-18-9862-50033,Henry,Moore,Howes,,CD120033,License,Street Name33,Barangay Name33,Caloocan,District 33,Occidental Mindoro,Region 33,12/24/1965,San Juan Ilocos Sur,9271285407,F,FILIPINO,FARMER,FARMING,Maria Onin,,
88-18-9862-50034,Aston,Perkins,Sing,,CD120034,License,Street Name34,Barangay Name34,Candon,District 34,Ilocos Sur,Region 34,12/24/1994,San Juan Ilocos Sur,9271281561,M,FILIPINO,FARMER,FARMING,Maria Kelos,,
88-18-9862-50035,Valeria,Dixon,Baseo,,CD120035,License,Street Name35,Barangay Name35,Canlaon,District 35,Negros Oriental,Region 35,11/16/1967,San Juan Ilocos Sur,9271219759,F,FILIPINO,FARMER,FARMING,Maria Howes,,
88-18-9862-50036,Adrian,Wilson,Masa,,CD120036,License,Street Name36,Barangay Name36,Carcar,District 36,Cebu,Region 36,10/23/1960,San Juan Ilocos Sur,9271228316,M,FILIPINO,FARMER,FARMING,Maria Sing,,
88-18-9862-50037,Camila,Casey,Genabe,,CD120037,License,Street Name37,Barangay Name37,Catbalogan,District 37,Samar,Region 37,11/18/1970,San Juan Ilocos Sur,9271239528,F,FILIPINO,FARMER,FARMING,Maria Baseo,,
88-18-9862-50038,Violet,Taylor,Brongo,,CD120038,License,Street Name38,Barangay Name38,Cauayan,District 38,Isabela,Region 38,12/22/2000,San Juan Ilocos Sur,9271232644,M,FILIPINO,FARMER,FARMING,Maria Masa,,
88-18-9862-50039,Tony,Williams,Sullivan,,CD120039,License,Street Name39,Barangay Name39,Cavite City,District 39,Cavite,Region 39,11/25/1988,San Juan Ilocos Sur,9271271500,F,FILIPINO,FARMER,FARMING,Maria Genabe,,
88-18-9862-50040,Emma,Campbell,Basilio,,CD120040,License,Street Name40,Barangay Name40,Cebu City,District 40,Cebu,Region 40,11/18/1972,San Juan Ilocos Sur,9271243928,M,FILIPINO,FARMER,FARMING,Maria Brongo,,
88-18-9862-50041,Naomi,Uy,Scott,,CD120041,License,Street Name41,Barangay Name41,Cotabato City,District 41,Maguindanao,Region 41,12/25/1981,San Juan Ilocos Sur,9271281194,F,FILIPINO,FARMER,FARMING,Maria Sullivan,,
88-18-9862-50042,Stuart,Parker,Dixon,,CD120042,License,Street Name42,Barangay Name42,Dagupan,District 42,Pangasinan,Region 42,10/14/1966,San Juan Ilocos Sur,9271240942,M,FILIPINO,FARMER,FARMING,Maria Basilio,,
88-18-9862-50043,Brad,Foster,Hangin,,CD120043,License,Street Name43,Barangay Name43,Danao,District 43,Cebu,Region 43,10/23/1982,San Juan Ilocos Sur,9271271397,F,FILIPINO,FARMER,FARMING,Maria Scott,,
88-18-9862-50044,Briony,Harrison,Grantes,,CD120044,License,Street Name44,Barangay Name44,Dapitan,District 44,Cebu,Region 44,11/18/1973,San Juan Ilocos Sur,9271284986,M,FILIPINO,FARMER,FARMING,Maria Dixon,,
88-18-9862-50045,Eric,Spencer,Reyes,,CD120045,License,Street Name45,Barangay Name45,Dasmari¤as,District 45,Cavite,Region 45,11/14/1987,San Juan Ilocos Sur,9271223187,F,FILIPINO,FARMER,FARMING,Maria Hangin,,
88-18-9862-50046,Rebecca,Gibson,Moore,,CD120046,License,Street Name46,Barangay Name46,Davao City,District 46,Davao del Sur,Region 46,10/10/1996,San Juan Ilocos Sur,9271222176,M,FILIPINO,FARMER,FARMING,Maria Grantes,,
88-18-9862-50047,Chester,Craig,Evans,,CD120047,License,Street Name47,Barangay Name47,Digos,District 47,Davao del Sur,Region 47,11/28/1981,San Juan Ilocos Sur,9271287136,F,FILIPINO,FARMER,FARMING,Maria Reyes,,
88-18-9862-50048,Kellan,Adams,Jong,,CD120048,License,Street Name48,Barangay Name48,Dipolog,District 48,Davao del Sur,Region 48,10/19/1973,San Juan Ilocos Sur,9271292296,M,FILIPINO,FARMER,FARMING,Maria Moore,,
88-18-9862-50049,Lily,Foster,Baker,,CD120049,License,Street Name49,Barangay Name49,Dumaguete,District 49,Negros Oriental,Region 49,10/20/1970,San Juan Ilocos Sur,9271299469,F,FILIPINO,FARMER,FARMING,Maria Evans,,
88-18-9862-50050,Edgar,Wilson,Melos,,CD120050,License,Street Name50,Barangay Name50,El Salvador,District 50,Misamis Oriental,Region 50,10/30/1982,San Juan Ilocos Sur,9271298955,M,FILIPINO,FARMER,FARMING,Maria Jong,,
88-18-9862-50051,Julia,Morgan,Thomas,,CD120051,License,Street Name51,Barangay Name51,Escalante,District 51,Negros Occidental,Region 51,10/10/1977,San Juan Ilocos Sur,9271286333,F,FILIPINO,FARMER,FARMING,Maria Baker,,
88-18-9862-50052,Isabella,Gray,Tucker,,CD120052,License,Street Name52,Barangay Name52,Gapan,District 52,Nueva Ecija,Region 52,12/26/1970,San Juan Ilocos Sur,9271272970,M,FILIPINO,FARMER,FARMING,Maria Melos,,
88-18-9862-50053,Eddy,Allen,Russell,,CD120053,License,Street Name53,Barangay Name53,General Santos,District 53,South Cotabato,Region 53,11/20/2000,San Juan Ilocos Sur,9271211531,F,FILIPINO,FARMER,FARMING,Maria Thomas,,
88-18-9862-50054,Melissa,Jones,Thompson,,CD120054,License,Street Name54,Barangay Name54,General Trias,District 54,Cavite,Region 54,12/12/1960,San Juan Ilocos Sur,9271274134,M,FILIPINO,FARMER,FARMING,Maria Tucker,,
88-18-9862-50055,Garry,Wells,Singson,,CD120055,License,Street Name55,Barangay Name55,Gingoog,District 55,Misamis Oriental,Region 55,10/18/1964,San Juan Ilocos Sur,9271241352,F,FILIPINO,FARMER,FARMING,Maria Russell,,
88-18-9862-50056,Robert,Chapman,Hunga,,CD120056,License,Street Name56,Barangay Name56,Guihulngan,District 56,Negros Oriental,Region 56,11/21/1961,San Juan Ilocos Sur,9271235943,M,FILIPINO,FARMER,FARMING,Maria Thompson,,
88-18-9862-50057,Honey,Bailey,Chapman,,CD120057,License,Street Name57,Barangay Name57,Himamaylan,District 57,Negros Occidental,Region 57,11/20/1971,San Juan Ilocos Sur,9271230622,F,FILIPINO,FARMER,FARMING,Maria Singson,,
88-18-9862-50058,Steven,Robinson,Parker,,CD120058,License,Street Name58,Barangay Name58,Ilagan,District 58,Isabela,Region 58,12/16/1963,San Juan Ilocos Sur,9271286117,M,FILIPINO,FARMER,FARMING,Maria Hunga,,
88-18-9862-50059,Florrie,Perry,Walker,,CD120059,License,Street Name59,Barangay Name59,Iligan,District 59,Lanao del Norte,Region 59,10/14/1992,San Juan Ilocos Sur,9271297599,F,FILIPINO,FARMER,FARMING,Maria Chapman,,
88-18-9862-50060,Amanda,Baker,Crawford,,CD120060,License,Street Name60,Barangay Name60,Iloilo City,District 60,Iloilo,Region 60,12/24/1986,San Juan Ilocos Sur,9271283913,M,FILIPINO,FARMER,FARMING,Maria Parker,,
88-18-9862-50061,Dale,Morris,Foster,,CD120061,License,Street Name61,Barangay Name61,Imus,District 61,Cavite,Region 61,12/29/1988,San Juan Ilocos Sur,9271234568,F,FILIPINO,FARMER,FARMING,Maria Walker,,
88-18-9862-50062,Spike,Walker,Kelley,,CD120062,License,Street Name62,Barangay Name62,Iriga,District 62,Camarines Sur,Region 62,10/17/1966,San Juan Ilocos Sur,9271254716,M,FILIPINO,FARMER,FARMING,Maria Crawford,,
88-18-9862-50063,Brad,Adams,Richardson,,CD120063,License,Street Name63,Barangay Name63,Isabela,District 63,Basilan,Region 63,10/10/1996,San Juan Ilocos Sur,9271220252,F,FILIPINO,FARMER,FARMING,Maria Foster,,
88-18-9862-50064,Melanie,Parker,Ross,,CD120064,License,Street Name64,Barangay Name64,Kabankalan,District 64,Negros Occidental,Region 64,12/16/1976,San Juan Ilocos Sur,9271290865,M,FILIPINO,FARMER,FARMING,Maria Kelley,,
88-18-9862-50065,Freddie,Ross,Camello,,CD120065,License,Street Name65,Barangay Name65,Kidapawan,District 65,Cotabato,Region 65,11/11/1987,San Juan Ilocos Sur,9271221258,F,FILIPINO,FARMER,FARMING,Maria Richardson,,
88-18-9862-50066,Albert,Williams,Montgomery,,CD120066,License,Street Name66,Barangay Name66,Koronadal,District 66,South Cotabato,Region 66,12/17/1977,San Juan Ilocos Sur,9271238003,M,FILIPINO,FARMER,FARMING,Maria Ross,,
88-18-9862-50067,Sophia,Taylor,Alleno,,CD120067,License,Street Name67,Barangay Name67,La Carlota,District 67,Negros Occidental,Region 67,12/18/1999,San Juan Ilocos Sur,9271266311,F,FILIPINO,FARMER,FARMING,Maria Camello,,
88-18-9862-50068,David,Scott,Moore,,CD120068,License,Street Name68,Barangay Name68,Lamitan,District 68,Basilan,Region 68,12/12/1989,San Juan Ilocos Sur,9271252178,M,FILIPINO,FARMER,FARMING,Maria Montgomery,,
88-18-9862-50069,Sarah,Morgan,Ostern,,CD120069,License,Street Name69,Barangay Name69,Laoag,District 69,Ilocos Norte,Region 69,10/17/1986,San Juan Ilocos Sur,9271296931,F,FILIPINO,FARMER,FARMING,Maria Alleno,,
88-18-9862-50070,Lana,Moore,Reed,,CD120070,License,Street Name70,Barangay Name70,Lapu-Lapu City,District 70,Cebu,Region 70,10/22/1982,San Juan Ilocos Sur,9271293618,M,FILIPINO,FARMER,FARMING,Maria Moore,,
88-18-9862-50071,Isabella,Wright,Wilson,,CD120071,License,Street Name71,Barangay Name71,Las Pi¤as,District 71,Nueva Vizcaya,Region 71,12/23/1983,San Juan Ilocos Sur,9271246177,F,FILIPINO,FARMER,FARMING,Maria Ostern,,
88-18-9862-50072,Lyndon,Thompson,Elliott,,CD120072,License,Street Name72,Barangay Name72,Legazpi,District 72,Albay,Region 72,10/10/1985,San Juan Ilocos Sur,9271296910,M,FILIPINO,FARMER,FARMING,Maria Reed,,
88-18-9862-50073,Madaline,Walker,Ross,,CD120073,License,Street Name73,Barangay Name73,Ligao,District 73,Albay,Region 73,11/26/1967,San Juan Ilocos Sur,9271227378,F,FILIPINO,FARMER,FARMING,Maria Wilson,,
88-18-9862-50074,Lenny,Davis,Toliso,,CD120074,License,Street Name74,Barangay Name74,Lipa,District 74,Batangas,Region 74,12/27/1964,San Juan Ilocos Sur,9271243619,M,FILIPINO,FARMER,FARMING,Maria Elliott,,
88-18-9862-50075,Emily,Sullivan,Watson,,CD120075,License,Street Name75,Barangay Name75,Lucena,District 75,Quezon,Region 75,11/30/1986,San Juan Ilocos Sur,9271217110,F,FILIPINO,FARMER,FARMING,Maria Ross,,
88-18-9862-50076,Penelope,Ross,Nelson,,CD120076,License,Street Name76,Barangay Name76,Maasin,District 76,Southern Leyte,Region 76,10/11/1969,San Juan Ilocos Sur,9271254638,M,FILIPINO,FARMER,FARMING,Maria Toliso,,
88-18-9862-50077,Lydia,Evans,Arison,,CD120077,License,Street Name77,Barangay Name77,Mabalacat,District 77,Pampanga,Region 77,11/13/1991,San Juan Ilocos Sur,9271264079,F,FILIPINO,FARMER,FARMING,Maria Watson,,
88-18-9862-50078,Oscar,Dixon,Walker,,CD120078,License,Street Name78,Barangay Name78,Makati,District 78,Nueva Vizcaya,Region 78,11/13/1973,San Juan Ilocos Sur,9271244865,M,FILIPINO,FARMER,FARMING,Maria Nelson,,
88-18-9862-50079,Julian,Kelley,Halanga,,CD120079,License,Street Name79,Barangay Name79,Malabon,District 79,Nueva Vizcaya,Region 79,10/29/1981,San Juan Ilocos Sur,9271280475,F,FILIPINO,FARMER,FARMING,Maria Arison,,
88-18-9862-50080,Melissa,Henderson,Cunningham,,CD120080,License,Street Name80,Barangay Name80,Malaybalay,District 80,Bukidnon,Region 80,10/24/1997,San Juan Ilocos Sur,9271245963,M,FILIPINO,FARMER,FARMING,Maria Walker,,
88-18-9862-50081,Garry,Foster,Murphy,,CD120081,License,Street Name81,Barangay Name81,Malolos,District 81,Bulacan,Region 81,11/14/1965,San Juan Ilocos Sur,9271223954,F,FILIPINO,FARMER,FARMING,Maria Halanga,,
88-18-9862-50082,Miranda,Jones,Thomas,,CD120082,License,Street Name82,Barangay Name82,Mandaluyong,District 82,Nueva Vizcaya,Region 82,11/24/1986,San Juan Ilocos Sur,9271227569,M,FILIPINO,FARMER,FARMING,Maria Cunningham,,
88-18-9862-50083,James,Nelson,Hangad,,CD120083,License,Street Name83,Barangay Name83,Mandaue,District 83,Cebu,Region 83,10/20/1992,San Juan Ilocos Sur,9271239757,F,FILIPINO,FARMER,FARMING,Maria Murphy,,
88-18-9862-50084,Oliver,Holmes,Cole,,CD120084,License,Street Name84,Barangay Name84,Manila,District 84,Tarlac,Region 84,11/19/1971,San Juan Ilocos Sur,9271211284,M,FILIPINO,FARMER,FARMING,Maria Thomas,,
88-18-9862-50085,Vanessa,Roberts,Mismo,,CD120085,License,Street Name85,Barangay Name85,Marawi,District 85,Lanao del Sur,Region 85,11/27/1979,San Juan Ilocos Sur,9271282683,F,FILIPINO,FARMER,FARMING,Maria Hangad,,
88-18-9862-50086,George,Myers,Martino,,CD120086,License,Street Name86,Barangay Name86,Marikina,District 86,Nueva Vizcaya,Region 86,11/25/1992,San Juan Ilocos Sur,9271220381,M,FILIPINO,FARMER,FARMING,Maria Cole,,
88-18-9862-50087,Stella,Cameron,Carroll,,CD120087,License,Street Name87,Barangay Name87,Masbate City,District 87,Masbate,Region 87,11/25/1981,San Juan Ilocos Sur,9271260304,F,FILIPINO,FARMER,FARMING,Maria Mismo,,
88-18-9862-50088,Preston,Miller,Harrit,,CD120088,License,Street Name88,Barangay Name88,Mati,District 88,Davao Oriental,Region 88,11/15/1967,San Juan Ilocos Sur,9271235734,M,FILIPINO,FARMER,FARMING,Maria Martino,,
88-18-9862-50089,Frederick,Stevens,Mando,,CD120089,License,Street Name89,Barangay Name89,Meycauayan,District 89,Bulacan,Region 89,11/14/1965,San Juan Ilocos Sur,9271242480,F,FILIPINO,FARMER,FARMING,Maria Carroll,,
88-18-9862-50090,Alina,Parker,Bennett,,CD120090,License,Street Name90,Barangay Name90,Mu¤oz,District 90,Nueva Ecija,Region 90,11/28/1995,San Juan Ilocos Sur,9271220169,M,FILIPINO,FARMER,FARMING,Maria Harrit,,
88-18-9862-50091,Alfred,Phillips,Biboy,,CD120091,License,Street Name91,Barangay Name91,Muntinlupa,District 91,Nueva Vizcaya,Region 91,11/24/1988,San Juan Ilocos Sur,9271257979,F,FILIPINO,FARMER,FARMING,Maria Mando,,
88-18-9862-50092,Sofia,Kelly,Moore,,CD120092,License,Street Name92,Barangay Name92,Naga,District 92,Camarines Sur,Region 92,11/19/1996,San Juan Ilocos Sur,9271268810,M,FILIPINO,FARMER,FARMING,Maria Bennett,,
88-18-9862-50093,Amelia,Henderson,Rogers,,CD120093,License,Street Name93,Barangay Name93,Naga,District 93,Cebu,Region 93,11/20/1975,San Juan Ilocos Sur,9271260080,F,FILIPINO,FARMER,FARMING,Maria Biboy,,
88-18-9862-50094,Naomi,Harrison,Harris,,CD120094,License,Street Name94,Barangay Name94,Navotas,District 94,Occidental Mindoro,Region 94,11/21/1967,San Juan Ilocos Sur,9271273459,M,FILIPINO,FARMER,FARMING,Maria Moore,,
88-18-9862-50095,Victor,Murray,Douglas,,CD120095,License,Street Name95,Barangay Name95,Olongapo,District 95,Zambales,Region 95,12/11/1985,San Juan Ilocos Sur,9271233189,F,FILIPINO,FARMER,FARMING,Maria Rogers,,
88-18-9862-50096,Ryan,Holmes,Nelson,,CD120096,License,Street Name96,Barangay Name96,Ormoc,District 96,Leyte,Region 96,10/20/1960,San Juan Ilocos Sur,9271285749,M,FILIPINO,FARMER,FARMING,Maria Harris,,
88-18-9862-50097,Lucia,Mason,Wells,,CD120097,License,Street Name97,Barangay Name97,Oroquieta,District 97,Tarlac,Region 97,12/13/1979,San Juan Ilocos Sur,9271294071,F,FILIPINO,FARMER,FARMING,Maria Douglas,,
88-18-9862-50098,Lucy,Grant,Ferguson,,CD120098,License,Street Name98,Barangay Name98,Ozamiz,District 98,Tarlac,Region 98,12/28/1991,San Juan Ilocos Sur,9271264884,M,FILIPINO,FARMER,FARMING,Maria Nelson,,
88-18-9862-50099,Wilson,Foster,Cooper,,CD120099,License,Street Name99,Barangay Name99,Pagadian,District 99,Tarlac,Region 99,12/22/1990,San Juan Ilocos Sur,9271294346,F,FILIPINO,FARMER,FARMING,Maria Wells,,
88-18-9862-50100,Rebecca,Nelson,Kalasing,,CD120100,License,Street Name100,Barangay Name100,Palayan,District 100,Nueva Ecija,Region 100,11/15/1970,San Juan Ilocos Sur,9271241674,M,FILIPINO,FARMER,FARMING,Maria Ferguson,,
88-18-9862-50101,Kelvin,Johnson,Thompson,,CD120101,License,Street Name101,Barangay Name101,Panabo,District 101,Davao del Norte,Region 101,11/29/1970,San Juan Ilocos Sur,9271223112,F,FILIPINO,FARMER,FARMING,Maria Cooper,,
88-18-9862-50102,Edith,Thomas,Higgins,,CD120102,License,Street Name102,Barangay Name102,Para¤aque,District 102,Occidental Mindoro,Region 102,10/11/1976,San Juan Ilocos Sur,9271255729,M,FILIPINO,FARMER,FARMING,Maria Kalasing,,
88-18-9862-50103,Mary,Adams,Haman,,CD120103,License,Street Name103,Barangay Name103,Pasay,District 103,Nueva Vizcaya,Region 103,12/19/1990,San Juan Ilocos Sur,9271215643,F,FILIPINO,FARMER,FARMING,Maria Thompson,,
88-18-9862-50104,Amelia,Moore,Bailey,,CD120104,License,Street Name104,Barangay Name104,Pasig,District 104,Nueva Vizcaya,Region 104,11/21/1991,San Juan Ilocos Sur,9271292938,M,FILIPINO,FARMER,FARMING,Maria Higgins,,
88-18-9862-50105,Jack,Murphy,Cong,,CD120105,License,Street Name105,Barangay Name105,Passi,District 105,Iloilo,Region 105,10/26/1978,San Juan Ilocos Sur,9271282896,F,FILIPINO,FARMER,FARMING,Maria Haman,,
88-18-9862-50106,Adelaide,Mason,Cruzo,,CD120106,License,Street Name106,Barangay Name106,Puerto Princesa,District 106,Palawan,Region 106,12/16/1988,San Juan Ilocos Sur,9271231903,M,FILIPINO,FARMER,FARMING,Maria Bailey,,
88-18-9862-50107,Caroline,Bennett,Forte,,CD120107,License,Street Name107,Barangay Name107,Quezon City,District 107,Nueva Vizcaya,Region 107,10/16/1967,San Juan Ilocos Sur,9271242287,F,FILIPINO,FARMER,FARMING,Maria Cong,,
88-18-9862-50108,Sam,Johnson,Mitchell,,CD120108,License,Street Name108,Barangay Name108,Roxas,District 108,Capiz,Region 108,11/26/1995,San Juan Ilocos Sur,9271228959,M,FILIPINO,FARMER,FARMING,Maria Cruzo,,
88-18-9862-50109,David,Wells,Taylor,,CD120109,License,Street Name109,Barangay Name109,Sagay,District 109,Negros Occidental,Region 109,12/14/1997,San Juan Ilocos Sur,9271283155,F,FILIPINO,FARMER,FARMING,Maria Forte,,
88-18-9862-50110,Vincent,Cameron,Lloyd,,CD120110,License,Street Name110,Barangay Name110,Samal,District 110,Davao del Norte,Region 110,12/10/1976,San Juan Ilocos Sur,9271293782,M,FILIPINO,FARMER,FARMING,Maria Mitchell,,
