RSBSA REFERENCE NUMBER,FIRSTNAME,MIDDLENAME,LASTNAME,EXTENSIONNAME,IDNUMBER,GOVTIDTYPE,STREETNO_PUROKNO,BARANGAY,CITYMUNICIPALITY,DISTRICT,PROVINCE,REGION,BIRTHDATE(YYYY-MM-DD),PLACEOFBIRTH,MOBILENO,SEX,NATIONALITY,PROFESSION,SOURCEOFFUNDS,MOTHERMAIDENNAME,# OF FARM PARCEL,TOTAL FARM AREA (Ha)
88-18-9862-50012,Minda,Dela Cruz,Pajares,,CD120012,License,Street Name12,Barangay Name12,Baguio,District 12,Benguet,Region 12,1962-10-24,San Juan Ilocos Sur,09271298785,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50013,Merlita,Uy,Pagtakhan,,CD120013,License,Street Name13,Barangay Name13,Bais,District 13,Negros Oriental,Region 13,1994-12-29,San Juan Ilocos Sur,09271297486,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50014,Maurecia,Soriano,Cabuguas,,CD120014,License,Street Name14,Barangay Name14,Balanga,District 14,Bataan,Region 14,1973-11-18,San Juan Ilocos Sur,09271261357,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50015,Marilou,Bautista,Siongco,,CD120015,License,Street Name15,Barangay Name15,Batac,District 15,Ilocos Norte,Region 15,1997-11-16,San Juan Ilocos Sur,09271270460,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50016,Luis,Dantes,Adriano,IV,CD120016,License,Street Name16,Barangay Name16,Batangas City,District 16,Batangas,Region 16,1976-12-17,San Juan Ilocos Sur,09271260826,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50017,Jordan,Lao,Basa,,CD120017,License,Street Name17,Barangay Name17,Bayawan,District 17,Negros Oriental,Region 17,1987-10-12,San Juan Ilocos Sur,09271296544,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50018,Joan,Suntay,Matibag,,CD120018,License,Street Name18,Barangay Name18,Baybay,District 18,Leyte,Region 18,1968-12-16,San Juan Ilocos Sur,09271268970,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50019,Fernando,Bista,Soriano,,CD120019,License,Street Name19,Barangay Name19,Bayugan,District 19,Agusan del Sur,Region 19,1969-11-26,San Juan Ilocos Sur,09271245097,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50020,Felicitas,Susi,Aldave,,CD120020,License,Street Name20,Barangay Name20,Bi¤an,District 20,Laguna,Region 20,1989-10-28,San Juan Ilocos Sur,09271221361,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50021,Ernanie,Reyes,Abarientos,,CD120021,License,Street Name21,Barangay Name21,Bislig,District 21,Surigao del Sur,Region 21,1983-11-24,San Juan Ilocos Sur,09271274960,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50022,Erlinda,Pajares,Monciller,,CD120022,License,Street Name22,Barangay Name22,Bogo,District 22,Cebu,Region 22,1964-11-25,San Juan Ilocos Sur,09271276591,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50023,Emelita,Pagtakhan,Topacio,,CD120023,License,Street Name23,Barangay Name23,Borongan,District 23,Eastern Samar,Region 23,1983-11-16,San Juan Ilocos Sur,09271248756,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50024,Jose,Cabuguas,Go,,CD120024,License,Street Name24,Barangay Name24,Butuan,District 24,Agusan del Norte,Region 24,1964-10-18,San Juan Ilocos Sur,09271299478,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50025,Editha,Siongco,Zamora,,CD120025,License,Street Name25,Barangay Name25,Cabadbaran,District 25,Agusan del Norte,Region 25,1999-10-30,San Juan Ilocos Sur,09271257408,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50026,Danilo,Adriano,Bautista,,CD120026,License,Street Name26,Barangay Name26,Cabanatuan,District 26,Nueva Ecija,Region 26,1976-12-12,San Juan Ilocos Sur,09271241367,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50027,Corazon,Basa,Bacatan,,CD120027,License,Street Name27,Barangay Name27,Cabuyao,District 27,Laguna,Region 27,1963-10-26,San Juan Ilocos Sur,09271231599,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50028,Clara,Matibag,Delos Reyes,,CD120028,License,Street Name28,Barangay Name28,Cadiz,District 28,Negros Occidental,Region 28,1984-12-18,San Juan Ilocos Sur,09271244283,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50029,Carl,Harrison,Grant,,CD120029,License,Street Name29,Barangay Name29,Cagayan de Oro,District 29,Misamis Oriental,Region 29,1992-10-24,San Juan Ilocos Sur,09271261446,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50030,Eddy,Wells,Pisco,,CD120030,License,Street Name30,Barangay Name30,Calamba,District 30,Laguna,Region 30,1978-10-11,San Juan Ilocos Sur,09271222734,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50031,Lenny,Cameron,Onin,,CD120031,License,Street Name31,Barangay Name31,Calapan,District 31,Oriental Mindoro,Region 31,1971-11-28,San Juan Ilocos Sur,09271296015,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50032,John,Foster,Kelos,,CD120032,License,Street Name32,Barangay Name32,Calbayog,District 32,Samar,Region 32,1994-11-24,San Juan Ilocos Sur,09271231552,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50033,Henry,Moore,Howes,,CD120033,License,Street Name33,Barangay Name33,Caloocan,District 33,Occidental Mindoro,Region 33,1965-12-24,San Juan Ilocos Sur,09271285407,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50034,Aston,Perkins,Sing,,CD120034,License,Street Name34,Barangay Name34,Candon,District 34,Ilocos Sur,Region 34,1994-12-24,San Juan Ilocos Sur,09271281561,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50035,Valeria,Dixon,Baseo,,CD120035,License,Street Name35,Barangay Name35,Canlaon,District 35,Negros Oriental,Region 35,1967-11-16,San Juan Ilocos Sur,09271219759,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50036,Adrian,Wilson,Masa,,CD120036,License,Street Name36,Barangay Name36,Carcar,District 36,Cebu,Region 36,1960-10-23,San Juan Ilocos Sur,09271228316,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50037,Camila,Casey,Genabe,,CD120037,License,Street Name37,Barangay Name37,Catbalogan,District 37,Samar,Region 37,1970-11-18,San Juan Ilocos Sur,09271239528,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50038,Violet,Taylor,Brongo,,CD120038,License,Street Name38,Barangay Name38,Cauayan,District 38,Isabela,Region 38,2000-12-22,San Juan Ilocos Sur,09271232644,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50039,Tony,Williams,Sullivan,,CD120039,License,Street Name39,Barangay Name39,Cavite City,District 39,Cavite,Region 39,1988-11-25,San Juan Ilocos Sur,09271271500,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50040,Emma,Campbell,Basilio,,CD120040,License,Street Name40,Barangay Name40,Cebu City,District 40,Cebu,Region 40,1972-11-18,San Juan Ilocos Sur,09271243928,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50041,Naomi,Uy,Scott,,CD120041,License,Street Name41,Barangay Name41,Cotabato City,District 41,Maguindanao,Region 41,1981-12-25,San Juan Ilocos Sur,09271281194,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50042,Stuart,Parker,Dixon,,CD120042,License,Street Name42,Barangay Name42,Dagupan,District 42,Pangasinan,Region 42,1966-10-14,San Juan Ilocos Sur,09271240942,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50043,Brad,Foster,Hangin,,CD120043,License,Street Name43,Barangay Name43,Danao,District 43,Cebu,Region 43,1982-10-23,San Juan Ilocos Sur,09271271397,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50044,Briony,Harrison,Grantes,,CD120044,License,Street Name44,Barangay Name44,Dapitan,District 44,Cebu,Region 44,1973-11-18,San Juan Ilocos Sur,09271284986,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50045,Eric,Spencer,Reyes,,CD120045,License,Street Name45,Barangay Name45,Dasmari¤as,District 45,Cavite,Region 45,1987-11-14,San Juan Ilocos Sur,09271223187,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50046,Rebecca,Gibson,Moore,,CD120046,License,Street Name46,Barangay Name46,Davao City,District 46,Davao del Sur,Region 46,1996-10-10,San Juan Ilocos Sur,09271222176,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50047,Chester,Craig,Evans,,CD120047,License,Street Name47,Barangay Name47,Digos,District 47,Davao del Sur,Region 47,1981-11-28,San Juan Ilocos Sur,09271287136,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50048,Kellan,Adams,Jong,,CD120048,License,Street Name48,Barangay Name48,Dipolog,District 48,Davao del Sur,Region 48,1973-10-19,San Juan Ilocos Sur,09271292296,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50049,Lily,Foster,Baker,,CD120049,License,Street Name49,Barangay Name49,Dumaguete,District 49,Negros Oriental,Region 49,1970-10-20,San Juan Ilocos Sur,09271299469,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50050,Edgar,Wilson,Melos,,CD120050,License,Street Name50,Barangay Name50,El Salvador,District 50,Misamis Oriental,Region 50,1982-10-30,San Juan Ilocos Sur,09271298955,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50051,Julia,Morgan,Thomas,,CD120051,License,Street Name51,Barangay Name51,Escalante,District 51,Negros Occidental,Region 51,1977-10-10,San Juan Ilocos Sur,09271286333,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50052,Isabella,Gray,Tucker,,CD120052,License,Street Name52,Barangay Name52,Gapan,District 52,Nueva Ecija,Region 52,1970-12-26,San Juan Ilocos Sur,09271272970,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50053,Eddy,Allen,Russell,,CD120053,License,Street Name53,Barangay Name53,General Santos,District 53,South Cotabato,Region 53,2000-11-20,San Juan Ilocos Sur,09271211531,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50054,Melissa,Jones,Thompson,,CD120054,License,Street Name54,Barangay Name54,General Trias,District 54,Cavite,Region 54,1960-12-12,San Juan Ilocos Sur,09271274134,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50055,Garry,Wells,Singson,,CD120055,License,Street Name55,Barangay Name55,Gingoog,District 55,Misamis Oriental,Region 55,1964-10-18,San Juan Ilocos Sur,09271241352,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50056,Robert,Chapman,Hunga,,CD120056,License,Street Name56,Barangay Name56,Guihulngan,District 56,Negros Oriental,Region 56,1961-11-21,San Juan Ilocos Sur,09271235943,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50057,Honey,Bailey,Chapman,,CD120057,License,Street Name57,Barangay Name57,Himamaylan,District 57,Negros Occidental,Region 57,1971-11-20,San Juan Ilocos Sur,09271230622,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50058,Steven,Robinson,Parker,,CD120058,License,Street Name58,Barangay Name58,Ilagan,District 58,Isabela,Region 58,1963-12-16,San Juan Ilocos Sur,09271286117,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50059,Florrie,Perry,Walker,,CD120059,License,Street Name59,Barangay Name59,Iligan,District 59,Lanao del Norte,Region 59,1992-10-14,San Juan Ilocos Sur,09271297599,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50060,Amanda,Baker,Crawford,,CD120060,License,Street Name60,Barangay Name60,Iloilo City,District 60,Iloilo,Region 60,1986-12-24,San Juan Ilocos Sur,09271283913,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50061,Dale,Morris,Foster,,CD120061,License,Street Name61,Barangay Name61,Imus,District 61,Cavite,Region 61,1988-12-29,San Juan Ilocos Sur,09271234568,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50062,Spike,Walker,Kelley,,CD120062,License,Street Name62,Barangay Name62,Iriga,District 62,Camarines Sur,Region 62,1966-10-17,San Juan Ilocos Sur,09271254716,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50063,Brad,Adams,Richardson,,CD120063,License,Street Name63,Barangay Name63,Isabela,District 63,Basilan,Region 63,1996-10-10,San Juan Ilocos Sur,09271220252,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50064,Melanie,Parker,Ross,,CD120064,License,Street Name64,Barangay Name64,Kabankalan,District 64,Negros Occidental,Region 64,1976-12-16,San Juan Ilocos Sur,09271290865,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50065,Freddie,Ross,Camello,,CD120065,License,Street Name65,Barangay Name65,Kidapawan,District 65,Cotabato,Region 65,1987-11-11,San Juan Ilocos Sur,09271221258,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50066,Albert,Williams,Montgomery,,CD120066,License,Street Name66,Barangay Name66,Koronadal,District 66,South Cotabato,Region 66,1977-12-17,San Juan Ilocos Sur,09271238003,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50067,Sophia,Taylor,Alleno,,CD120067,License,Street Name67,Barangay Name67,La Carlota,District 67,Negros Occidental,Region 67,1999-12-18,San Juan Ilocos Sur,09271266311,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50068,David,Scott,Moore,,CD120068,License,Street Name68,Barangay Name68,Lamitan,District 68,Basilan,Region 68,1989-12-12,San Juan Ilocos Sur,09271252178,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50069,Sarah,Morgan,Ostern,,CD120069,License,Street Name69,Barangay Name69,Laoag,District 69,Ilocos Norte,Region 69,1986-10-17,San Juan Ilocos Sur,09271296931,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50070,Lana,Moore,Reed,,CD120070,License,Street Name70,Barangay Name70,Lapu-Lapu City,District 70,Cebu,Region 70,1982-10-22,San Juan Ilocos Sur,09271293618,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50071,Isabella,Wright,Wilson,,CD120071,License,Street Name71,Barangay Name71,Las Pi¤as,District 71,Nueva Vizcaya,Region 71,1983-12-23,San Juan Ilocos Sur,09271246177,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50072,Lyndon,Thompson,Elliott,,CD120072,License,Street Name72,Barangay Name72,Legazpi,District 72,Albay,Region 72,1985-10-10,San Juan Ilocos Sur,09271296910,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50073,Madaline,Walker,Ross,,CD120073,License,Street Name73,Barangay Name73,Ligao,District 73,Albay,Region 73,1967-11-26,San Juan Ilocos Sur,09271227378,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50074,Lenny,Davis,Toliso,,CD120074,License,Street Name74,Barangay Name74,Lipa,District 74,Batangas,Region 74,1964-12-27,San Juan Ilocos Sur,09271243619,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50075,Emily,Sullivan,Watson,,CD120075,License,Street Name75,Barangay Name75,Lucena,District 75,Quezon,Region 75,1986-11-30,San Juan Ilocos Sur,09271217110,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50076,Penelope,Ross,Nelson,,CD120076,License,Street Name76,Barangay Name76,Maasin,District 76,Southern Leyte,Region 76,1969-10-11,San Juan Ilocos Sur,09271254638,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50077,Lydia,Evans,Arison,,CD120077,License,Street Name77,Barangay Name77,Mabalacat,District 77,Pampanga,Region 77,1991-11-13,San Juan Ilocos Sur,09271264079,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50078,Oscar,Dixon,Walker,,CD120078,License,Street Name78,Barangay Name78,Makati,District 78,Nueva Vizcaya,Region 78,1973-11-13,San Juan Ilocos Sur,09271244865,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50079,Julian,Kelley,Halanga,,CD120079,License,Street Name79,Barangay Name79,Malabon,District 79,Nueva Vizcaya,Region 79,1981-10-29,San Juan Ilocos Sur,09271280475,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50080,Melissa,Henderson,Cunningham,,CD120080,License,Street Name80,Barangay Name80,Malaybalay,District 80,Bukidnon,Region 80,1997-10-24,San Juan Ilocos Sur,09271245963,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50081,Garry,Foster,Murphy,,CD120081,License,Street Name81,Barangay Name81,Malolos,District 81,Bulacan,Region 81,1965-11-14,San Juan Ilocos Sur,09271223954,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50082,Miranda,Jones,Thomas,,CD120082,License,Street Name82,Barangay Name82,Mandaluyong,District 82,Nueva Vizcaya,Region 82,1986-11-24,San Juan Ilocos Sur,09271227569,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50083,James,Nelson,Hangad,,CD120083,License,Street Name83,Barangay Name83,Mandaue,District 83,Cebu,Region 83,1992-10-20,San Juan Ilocos Sur,09271239757,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50084,Oliver,Holmes,Cole,,CD120084,License,Street Name84,Barangay Name84,Manila,District 84,Tarlac,Region 84,1971-11-19,San Juan Ilocos Sur,09271211284,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50085,Vanessa,Roberts,Mismo,,CD120085,License,Street Name85,Barangay Name85,Marawi,District 85,Lanao del Sur,Region 85,1979-11-27,San Juan Ilocos Sur,09271282683,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50086,George,Myers,Martino,,CD120086,License,Street Name86,Barangay Name86,Marikina,District 86,Nueva Vizcaya,Region 86,1992-11-25,San Juan Ilocos Sur,09271220381,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50087,Stella,Cameron,Carroll,,CD120087,License,Street Name87,Barangay Name87,Masbate City,District 87,Masbate,Region 87,1981-11-25,San Juan Ilocos Sur,09271260304,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50088,Preston,Miller,Harrit,,CD120088,License,Street Name88,Barangay Name88,Mati,District 88,Davao Oriental,Region 88,1967-11-15,San Juan Ilocos Sur,09271235734,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50089,Frederick,Stevens,Mando,,CD120089,License,Street Name89,Barangay Name89,Meycauayan,District 89,Bulacan,Region 89,1965-11-14,San Juan Ilocos Sur,09271242480,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50090,Alina,Parker,Bennett,,CD120090,License,Street Name90,Barangay Name90,Mu¤oz,District 90,Nueva Ecija,Region 90,1995-11-28,San Juan Ilocos Sur,09271220169,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50091,Alfred,Phillips,Biboy,,CD120091,License,Street Name91,Barangay Name91,Muntinlupa,District 91,Nueva Vizcaya,Region 91,1988-11-24,San Juan Ilocos Sur,09271257979,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50092,Sofia,Kelly,Moore,,CD120092,License,Street Name92,Barangay Name92,Naga,District 92,Camarines Sur,Region 92,1996-11-19,San Juan Ilocos Sur,09271268810,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50093,Amelia,Henderson,Rogers,,CD120093,License,Street Name93,Barangay Name93,Naga,District 93,Cebu,Region 93,1975-11-20,San Juan Ilocos Sur,09271260080,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50094,Naomi,Harrison,Harris,,CD120094,License,Street Name94,Barangay Name94,Navotas,District 94,Occidental Mindoro,Region 94,1967-11-21,San Juan Ilocos Sur,09271273459,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50095,Victor,Murray,Douglas,,CD120095,License,Street Name95,Barangay Name95,Olongapo,District 95,Zambales,Region 95,1985-12-11,San Juan Ilocos Sur,09271233189,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50096,Ryan,Holmes,Nelson,,CD120096,License,Street Name96,Barangay Name96,Ormoc,District 96,Leyte,Region 96,1960-10-20,San Juan Ilocos Sur,09271285749,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50097,Lucia,Mason,Wells,,CD120097,License,Street Name97,Barangay Name97,Oroquieta,District 97,Tarlac,Region 97,1979-12-13,San Juan Ilocos Sur,09271294071,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50098,Lucy,Grant,Ferguson,,CD120098,License,Street Name98,Barangay Name98,Ozamiz,District 98,Tarlac,Region 98,1991-12-28,San Juan Ilocos Sur,09271264884,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50099,Wilson,Foster,Cooper,,CD120099,License,Street Name99,Barangay Name99,Pagadian,District 99,Tarlac,Region 99,1990-12-22,San Juan Ilocos Sur,09271294346,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50100,Rebecca,Nelson,Kalasing,,CD120100,License,Street Name100,Barangay Name100,Palayan,District 100,Nueva Ecija,Region 100,1970-11-15,San Juan Ilocos Sur,09271241674,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50101,Kelvin,Johnson,Thompson,,CD120101,License,Street Name101,Barangay Name101,Panabo,District 101,Davao del Norte,Region 101,1970-11-29,San Juan Ilocos Sur,09271223112,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50102,Edith,Thomas,Higgins,,CD120102,License,Street Name102,Barangay Name102,Para¤aque,District 102,Occidental Mindoro,Region 102,1976-10-11,San Juan Ilocos Sur,09271255729,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50103,Mary,Adams,Haman,,CD120103,License,Street Name103,Barangay Name103,Pasay,District 103,Nueva Vizcaya,Region 103,1990-12-19,San Juan Ilocos Sur,09271215643,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50104,Amelia,Moore,Bailey,,CD120104,License,Street Name104,Barangay Name104,Pasig,District 104,Nueva Vizcaya,Region 104,1991-11-21,San Juan Ilocos Sur,09271292938,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50105,Jack,Murphy,Cong,,CD120105,License,Street Name105,Barangay Name105,Passi,District 105,Iloilo,Region 105,1978-10-26,San Juan Ilocos Sur,09271282896,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50106,Adelaide,Mason,Cruzo,,CD120106,License,Street Name106,Barangay Name106,Puerto Princesa,District 106,Palawan,Region 106,1988-12-16,San Juan Ilocos Sur,09271231903,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50107,Caroline,Bennett,Forte,,CD120107,License,Street Name107,Barangay Name107,Quezon City,District 107,Nueva Vizcaya,Region 107,1967-10-16,San Juan Ilocos Sur,09271242287,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50108,Sam,Johnson,Mitchell,,CD120108,License,Street Name108,Barangay Name108,Roxas,District 108,Capiz,Region 108,1995-11-26,San Juan Ilocos Sur,09271228959,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50109,David,Wells,Taylor,,CD120109,License,Street Name109,Barangay Name109,Sagay,District 109,Negros Occidental,Region 109,1997-12-14,San Juan Ilocos Sur,09271283155,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50110,Vincent,Cameron,Lloyd,,CD120110,License,Street Name110,Barangay Name110,Samal,District 110,Davao del Norte,Region 110,1976-12-10,San Juan Ilocos Sur,09271293782,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50111,Sydney,Hawkins,Robinson,,CD120111,License,Street Name111,Barangay Name111,San Carlos,District 111,Negros Occidental,Region 111,1994-11-16,San Juan Ilocos Sur,09271229684,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50112,Victor,Johnson,Richardson,,CD120112,License,Street Name112,Barangay Name112,San Carlos,District 112,Pangasinan,Region 112,1998-10-21,San Juan Ilocos Sur,09271267945,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50113,Justin,Turner,Barnes,,CD120113,License,Street Name113,Barangay Name113,San Fernando,District 113,La Union,Region 113,1967-11-11,San Juan Ilocos Sur,09271230259,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50114,Amy,Harrison,Russell,,CD120114,License,Street Name114,Barangay Name114,San Fernando,District 114,Pampanga,Region 114,1970-12-28,San Juan Ilocos Sur,09271250008,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50115,Grace,Kelley,Samartino,,CD120115,License,Street Name115,Barangay Name115,San Jose,District 115,Nueva Ecija,Region 115,1993-10-30,San Juan Ilocos Sur,09271276507,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50116,Adam,Montgomery,Davision,,CD120116,License,Street Name116,Barangay Name116,San Jose del Monte,District 116,Bulacan,Region 116,1973-12-15,San Juan Ilocos Sur,09271273074,Married,FILIPINO,FARMER,FARMING,,,
